queryOption,approximateQuery,inputTopicName,radius,wInterval,wStep,uniformGridSize,executionCost1, executionCost2, executionCost3,avg_time_sec, numberRecords1, numberRecords2, numberRecords3avg_records, throughput
1,true,TaxiDrive17MillionGeoJSON,0.005,100,50,200,121090, 121107, 121085,121.094, 42519254, 42057495, 42715836,42430861.666666664, 350396.06971994205
1,false,TaxiDrive17MillionGeoJSON,0.005,100,50,200,121099, 121063, 121099,121.087, 42603059, 42556380, 43028345,42729261.333333336, 352880.66706858156
1,true,TaxiDrive17MillionGeoJSON,0.0005,100,50,200,121088, 121090, 121106,121.09466666666667, 42763499, 43278909, 43219832,43087413.333333336, 355815.94565133617
1,true,TaxiDrive17MillionGeoJSON,0.005,100,50,200,121106, 121077, 121050,121.07766666666667, 42625565, 42468744, 41889872,42328060.333333336, 349594.28521087015
1,true,TaxiDrive17MillionGeoJSON,0.05,100,50,200,121012, 121038, 121086,121.04533333333333, 42170664, 42488209, 42818765,42492546.0, 351046.5445452943
1,true,TaxiDrive17MillionGeoJSON,0.5,100,50,200,121041, 125167, 121097,122.435, 27587389, 27188824, 28862158,27879457.0, 227708.22885612774
1,true,TaxiDrive17MillionGeoJSON,0.005,50,50,200,121105, 121089, 121058,121.084, 41464036, 43261763, 43149660,42625153.0, 352029.60754517524
1,true,TaxiDrive17MillionGeoJSON,0.005,100,50,200,121036, 121093, 121015,121.048, 43293243, 43697896, 43401628,43464255.666666664, 359066.28499988985
1,true,TaxiDrive17MillionGeoJSON,0.005,150,50,200,121082, 121077, 121131,121.09666666666668, 43409644, 43346600, 43586239,43447494.333333336, 358783.56960004405
1,true,TaxiDrive17MillionGeoJSON,0.005,200,50,200,121101, 121101, 121039,121.08033333333333, 42743435, 43343541, 43093204,43060060.0, 355632.1560616781
1,true,TaxiDrive17MillionGeoJSON,0.005,250,50,200,121078, 121094, 121107,121.093, 42980986, 43087736, 43225445,43098055.666666664, 355908.7285529854
1,true,TaxiDrive17MillionGeoJSON,0.005,250,25,200,121108, 121077, 120402,120.86233333333332, 43154524, 42812967, 42787530,42918340.333333336, 355101.04057784757
1,true,TaxiDrive17MillionGeoJSON,0.005,250,50,200,121102, 121013, 121024,121.04633333333332, 43065511, 42785235, 43087008,42979251.333333336, 355064.46291915776
1,true,TaxiDrive17MillionGeoJSON,0.005,250,75,200,121025, 121090, 121063,121.05933333333333, 43163671, 41275567, 43599956,42679731.333333336, 352552.1755172395
1,true,TaxiDrive17MillionGeoJSON,0.005,250,100,200,121104, 121037, 121100,121.08033333333333, 43315012, 43290781, 42954140,43186644.333333336, 356677.6134852619
1,true,TaxiDrive17MillionGeoJSON,0.005,250,125,200,121097, 121097, 121079,121.091, 43761940, 43643101, 42893660,43432900.333333336, 358679.8385786998
1,true,TaxiDrive17MillionGeoJSON,0.005,100,50,100,121140, 121053, 121061,121.08466666666668, 43753874, 43745473, 43663403,43720916.666666664, 361077.2352128262
1,true,TaxiDrive17MillionGeoJSON,0.005,100,50,200,121009, 121106, 121083,121.066, 43556798, 43736414, 42890932,43394714.666666664, 358438.49360403966
1,true,TaxiDrive17MillionGeoJSON,0.005,100,50,300,121069, 121091, 121074,121.078, 43322215, 43061800, 43056566,43146860.333333336, 356355.9055595016
1,true,TaxiDrive17MillionGeoJSON,0.005,100,50,400,121099, 121053, 121102,121.08466666666668, 43356341, 43303841, 42932739,43197640.333333336, 356755.6613278863
1,true,TaxiDrive17MillionGeoJSON,0.005,100,50,500,121042, 121019, 121035,121.032, 42316411, 42846051, 42698013,42620158.333333336, 352139.5856743121
6,true,TaxiDrive17MillionGeoJSON,0.005,100,50,200,121031, 121105, 121092,121.076, 42353444, 42801224, 43411038,42855235.333333336, 353953.18092217564
6,false,TaxiDrive17MillionGeoJSON,0.005,100,50,200,121091, 121042, 121070,121.06766666666667, 42868147, 41310415, 42334225,42170929.0, 348325.28090351674
6,true,TaxiDrive17MillionGeoJSON,0.0005,100,50,200,121067, 121080, 121040,121.06233333333333, 43147162, 42648946, 43290782,43028963.333333336, 355428.1678584311
6,true,TaxiDrive17MillionGeoJSON,0.005,100,50,200,121106, 121105, 121007,121.07266666666668, 43089660, 43150618, 42277861,42839379.666666664, 353831.96592679876
6,true,TaxiDrive17MillionGeoJSON,0.05,100,50,200,121084, 121074, 121050,121.06933333333333, 43113246, 43258173, 43259518,43210312.333333336, 356905.51144247927
6,true,TaxiDrive17MillionGeoJSON,0.5,100,50,200,121018, 121017, 123044,121.693, 29500234, 23953827, 28138888,27197649.666666668, 223493.9533635186
6,true,TaxiDrive17MillionGeoJSON,0.005,50,50,200,121012, 121086, 121044,121.04733333333333, 42333949, 42946851, 43455717,42912172.333333336, 354507.3745256677
6,true,TaxiDrive17MillionGeoJSON,0.005,100,50,200,121021, 121105, 121105,121.077, 43281372, 43645197, 43357311,43427960.0, 358680.5090975165
6,true,TaxiDrive17MillionGeoJSON,0.005,150,50,200,121077, 121042, 121022,121.047, 43120961, 42977018, 42547646,42881875.0, 354258.05678785924
6,true,TaxiDrive17MillionGeoJSON,0.005,200,50,200,121017, 121091, 121007,121.03833333333333, 43102382, 43777613, 43328939,43402978.0, 358588.6950415158
6,true,TaxiDrive17MillionGeoJSON,0.005,250,50,200,121091, 121066, 121028,121.06166666666667, 43243375, 42719006, 42976575,42979652.0, 355022.80105180555
6,true,TaxiDrive17MillionGeoJSON,0.005,250,25,200,121089, 121023, 121096,121.06933333333333, 42989316, 43220255, 43229472,43146347.666666664, 356377.1805687099
6,true,TaxiDrive17MillionGeoJSON,0.005,250,50,200,121093, 121096, 121003,121.064, 42924504, 43473213, 43148892,43182203.0, 356689.04876759404
6,true,TaxiDrive17MillionGeoJSON,0.005,250,75,200,121104, 121036, 121056,121.06533333333333, 43082409, 43206355, 42904915,43064559.666666664, 355713.3861606405
6,true,TaxiDrive17MillionGeoJSON,0.005,250,100,200,121035, 121027, 121075,121.04566666666668, 43281963, 42928509, 43335750,43182074.0, 356742.00646037166
6,true,TaxiDrive17MillionGeoJSON,0.005,250,125,200,121100, 121006, 121021,121.04233333333333, 42995590, 42887165, 43170433,43017729.333333336, 355394.08526493487
6,true,TaxiDrive17MillionGeoJSON,0.005,100,50,100,121015, 121102, 121090,121.069, 43403884, 43191222, 43253850,43282985.333333336, 357506.75510108564
6,true,TaxiDrive17MillionGeoJSON,0.005,100,50,200,121003, 121023, 121043,121.023, 43155107, 42908306, 43384618,43149343.666666664, 356538.3742484211
6,true,TaxiDrive17MillionGeoJSON,0.005,100,50,300,121108, 121073, 121014,121.065, 43065789, 42551230, 42980016,42865678.333333336, 354071.6006552954
6,true,TaxiDrive17MillionGeoJSON,0.005,100,50,400,121061, 121025, 121059,121.04833333333333, 42848627, 42844697, 43027754,42907026.0, 354461.9311845131
